Price,Year,Mileage,Region,mean_price_country_digit_x,mean_price_country_digit_y,mean_price_country_digit_x,mean_price_country_digit_y,mean_price_region,max_price_region,min_price_region,std_price_region,mean_price_sc,max_price_sc,min_price_sc,std_price_sc,mean_price_mm,max_price_mm,min_price_mm,std_price_mm
10000,2012,94129,Europa,23543.077966101693,23543.077966101693,23543.077966101693,23543.077966101693,23542.172049441786,80895,1500,12745.626465392688,24240.157894736843,55441,3888,12509.572484400946,13028.6091954023,21900,8499,2301.503322433029
9664,2011,62149,Europa,23543.077966101693,23543.077966101693,23543.077966101693,23543.077966101693,23542.172049441786,80895,1500,12745.626465392688,18795.5625,41500,3650,11697.658560687236,7712.72972972973,15995,1995,2108.8363613654806
13991,2013,43367,Europa,23543.077966101693,23543.077966101693,23543.077966101693,23543.077966101693,23542.172049441786,80895,1500,12745.626465392688,25381.55,48993,6493,10876.408138601453,23098.434370771312,46015,2195,6402.635292209773
11950,2012,54664,Europa,23543.077966101693,23543.077966101693,23543.077966101693,23543.077966101693,23542.172049441786,80895,1500,12745.626465392688,7431.137931034483,22987,3995,3553.089115967942,13028.6091954023,21900,8499,2301.503322433029
15995,2014,23625,Europa,23543.077966101693,23543.077966101693,23543.077966101693,23543.077966101693,23542.172049441786,80895,1500,12745.626465392688,18193.0,27495,9990,7147.185285131483,23098.434370771312,46015,2195,6402.635292209773
8500,2009,97616,Europa,23543.077966101693,23543.077966101693,23543.077966101693,23543.077966101693,23542.172049441786,80895,1500,12745.626465392688,24132.782608695652,55900,6795,11167.384344015232,10071.65648854962,24995,1995,4154.963833538779
7999,2009,77604,Europa,23543.077966101693,23543.077966101693,23543.077966101693,23543.077966101693,23542.172049441786,80895,1500,12745.626465392688,5997.0,7999,3995,2831.2555518709364,7842.962962962963,15998,3500,3108.932519549293
9999,2011,89825,Europa,23543.077966101693,23543.077966101693,23543.077966101693,23543.077966101693,23542.172049441786,80895,1500,12745.626465392688,9999.0,9999,9999,,10071.65648854962,24995,1995,4154.963833538779
7500,2006,44136,Europa,23543.077966101693,23543.077966101693,23543.077966101693,23543.077966101693,23542.172049441786,80895,1500,12745.626465392688,31543.777777777777,39000,7500,8060.716823733378,6211.538461538462,7500,3900,994.4052339115925
14689,2013,40349,Europa,23543.077966101693,23543.077966101693,23543.077966101693,23543.077966101693,23542.172049441786,80895,1500,12745.626465392688,14843.0,16489,13351,1574.6580581192857,23098.434370771312,46015,2195,6402.635292209773
14491,2014,50825,Europa,23543.077966101693,23543.077966101693,23543.077966101693,23543.077966101693,23542.172049441786,80895,1500,12745.626465392688,24132.782608695652,55900,6795,11167.384344015232,23098.434370771312,46015,2195,6402.635292209773
6999,2007,88283,Europa,23543.077966101693,23543.077966101693,23543.077966101693,23543.077966101693,23542.172049441786,80895,1500,12745.626465392688,24048.954545454544,57247,4977,14576.06238491893,7773.515151515152,12751,2992,2042.4824681195569
10990,2012,69071,Europa,23543.077966101693,23543.077966101693,23543.077966101693,23543.077966101693,23542.172049441786,80895,1500,12745.626465392688,13857.444444444445,56000,4477,15960.202184739946,13028.6091954023,21900,8499,2301.503322433029
3499,2004,90946,Europa,23543.077966101693,23543.077966101693,23543.077966101693,23543.077966101693,23542.172049441786,80895,1500,12745.626465392688,4561.5,5999,3499,1015.5048005794948,5802.725490196079,19995,1995,2915.243585558033
8500,2011,105425,Europa,23543.077966101693,23543.077966101693,23543.077966101693,23543.077966101693,23542.172049441786,80895,1500,12745.626465392688,24639.545454545456,50999,4999,11389.03138875409,7773.515151515152,12751,2992,2042.4824681195569
