Price,Year,Mileage,Region,mean_price_country_digit_x,mean_price_country_digit_y,mean_price_country_digit_x,mean_price_country_digit_y,mean_price_region,max_price_region,min_price_region,std_price_region,mean_price_sc,max_price_sc,min_price_sc,std_price_sc,mean_price_mm,max_price_mm,min_price_mm,std_price_mm
14990,2015,23603,America do Norte,20289.184018149735,20289.184018149735,20289.184018149735,20289.184018149735,24620.360940588907,194000,1950,12372.191482960476,18992.666666666668,20998,14990,3466.413324076246,17214.413636363635,23887,8924,2073.3110178524844
14590,2010,19250,Asia,13680.817802503478,13680.817802503478,13680.817802503478,13680.817802503478,13680.817802503478,89000,1900,7506.589268843966,26513.163636363635,46990,7789,9651.58259094146,11352.45581395349,19900,4990,2640.7577171877883
9500,2011,68289,Asia,13680.817802503478,13680.817802503478,13680.817802503478,13680.817802503478,13680.817802503478,89000,1900,7506.589268843966,9500.0,9500,9500,,11352.45581395349,19900,4990,2640.7577171877883
7990,2007,60552,Asia,13680.817802503478,13680.817802503478,13680.817802503478,13680.817802503478,13680.817802503478,89000,1900,7506.589268843966,12994.0,17998,7990,7076.7246661149675,11352.45581395349,19900,4990,2640.7577171877883
16994,2015,23946,America do Norte,20289.184018149735,20289.184018149735,20289.184018149735,20289.184018149735,24620.360940588907,194000,1950,12372.191482960476,16994.0,16994,16994,,17214.413636363635,23887,8924,2073.3110178524844
15499,2014,27171,Asia,13680.817802503478,13680.817802503478,13680.817802503478,13680.817802503478,13680.817802503478,89000,1900,7506.589268843966,16606.125,26499,7499,5057.107116062832,17910.729559748426,23600,12290,2099.876119569538
13499,2014,35037,America do Norte,20289.184018149735,20289.184018149735,20289.184018149735,20289.184018149735,24620.360940588907,194000,1950,12372.191482960476,15199.0,16999,13499,1435.2700094407326,17214.413636363635,23887,8924,2073.3110178524844
13999,2013,38343,Asia,13680.817802503478,13680.817802503478,13680.817802503478,13680.817802503478,13680.817802503478,89000,1900,7506.589268843966,18887.2,27666,13999,5609.142955924729,17910.729559748426,23600,12290,2099.876119569538
14999,2014,17669,America do Norte,20289.184018149735,20289.184018149735,20289.184018149735,20289.184018149735,24620.360940588907,194000,1950,12372.191482960476,22808.206896551725,47955,4850,9267.531582932606,17214.413636363635,23887,8924,2073.3110178524844
15995,2014,37483,Asia,13680.817802503478,13680.817802503478,13680.817802503478,13680.817802503478,13680.817802503478,89000,1900,7506.589268843966,15909.42857142857,17995,12995,1853.3188120362943,18506.054545454546,22495,14490,1861.1912694331393
14500,2010,25926,Asia,13680.817802503478,13680.817802503478,13680.817802503478,13680.817802503478,13680.817802503478,89000,1900,7506.589268843966,16608.6875,43754,3975,9845.645192369682,11352.45581395349,19900,4990,2640.7577171877883
